"Source:","C:\Users\esamp\Documents\SinESC\Multi Edition\1.0A\SinESC-Multi-1.0A\SinESC-Multi-1.0A.sch"
"Date:","9/1/2020 2:02:44 AM"
"Tool:","Eeschema (5.1.6)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","81"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Manufacturer Part #","Voltage Rating"
"16","3","R5, R14, R21","976Ω","Device:R_US","Resistor_SMD:R_0201_0603Metric","","ERJ-1GNF9760C","-"
"17","4","R8, R16, R17, R22","15kΩ","Device:R_US","Resistor_SMD:R_0201_0603Metric","","ERJ-1GNF1502C","-"
"18","3","R9, R18, R23","470Ω","Device:R_US","Resistor_SMD:R_0201_0603Metric","","ERJ-1GNF4700C","-"
"19","2","R15, R25","120kΩ","Device:R_US","Resistor_SMD:R_0201_0603Metric","","ERJ-1GNF1203C","-"
"20","1","R24","52.3kΩ","Device:R_US","Capacitor_SMD:C_0201_0603Metric","~","ERJ-1GNF5232C",""
"21","1","U1","STM32F303CBT7","MCU_ST_STM32F3:STM32F303CBTx","Package_QFP:LQFP-48_7x7mm_P0.5mm","","STM32F303CBT7","-"
"22","3","U2, U3, U5","MAX4239AUT","Amplifier_Operational:MAX4239AUT","Package_TO_SOT_SMD:SOT-23-6","","MAX4239AUT+T","-"
"23","1","U4","TMC6100-LA","TMC6100-LA:TMC6100-LA","TMC6100-LA:TMC6100-LA","","TMC6100-LA-T","-"
"24","1","U6","TPS560430XDBVR","TPS560430X:TPS560430X","Package_TO_SOT_SMD:SOT-23-6","","TPS560430XDBVR",""
"25","1","Y1","8MHz","Device:Crystal_GND2_Small","Crystal:Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm","","CSTNE8M00GH5C000R0","-"
